"","price","city_name","voivodeship","year_of_production","mileage","age"
"148",6000,"Kleosin","Podlaskie","2005 ",6101,15
"149",3499,"Ruda Śląska","Śląskie","2019 ",1,1
"150",7199,"Gliwice","Śląskie","2019 ",1,1
"151",19900,"Gliwice","Śląskie","2018 ",1,2
"152",2999,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"153",2299,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"154",2699,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"155",18650,"Szczecin","Zachodniopomorskie","2020 ",1,0
"156",6800,"Stoczek Łukowski","Lubelskie","1999 ",16880,21
"157",11500,"Piaski","Wielkopolskie","1998 ",4843,22
"158",7000,"Grodków","Opolskie","2010 ",12042,10
"159",12300,"Mizerów","Śląskie","2004 ",14000,16
"160",6099,"Ruda Śląska","Śląskie","2020 ",1,0
"161",10999,"Dulowa","Małopolskie","2020 ",1,0
"162",15499,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"163",7500,"Knurów","Śląskie","2019 ",3500,1
"164",9399,"Pułtusk","Mazowieckie","2013 ",25500,7
"165",9840,"Pułtusk","Mazowieckie","2013 ",11500,7
"166",4000,"Rudnik Pierwszy","Lubelskie","2000 ",900,20
"167",8999,"Gliwice","Śląskie","2020 ",1,0
"168",8799,"Gliwice","Śląskie","2020 ",1,0
"169",7800,"Gliwice","Śląskie","2018 ",1,2
"170",17800,"Gliwice","Śląskie","2018 ",1,2
"171",8900,"Pietrzykowice","Dolnośląskie","2020 ",1,0
"172",5999,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"173",10799,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"174",1849,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"175",7990,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"176",9799,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"177",9199,"Pietrzykowice","Dolnośląskie","2020 ",1,0
"178",5400,"Zabrze","Śląskie","1997 ",7000,23
"179",14099,"Wrocław","Dolnośląskie","2018 ",1,2
"180",11500,"Bilcza","Świętokrzyskie","2001 ",14269,19
"181",6999,"Gliwice","Śląskie","2019 ",1,1
"182",11300,"Poznań","Wielkopolskie","2019 ",1,1
"183",17700,"Warszawa","Mazowieckie","2020 ",1,0
"184",3499,"Gliwice","Śląskie","2019 ",1,1
"185",4199,"Gliwice","Śląskie","2020 ",1,0
"186",11900,"Piaseczno","Mazowieckie","2020 ",1,0
"187",10900,"Chabielice","Łódzkie","2015 ",17600,5
"188",8600,"Wojakowa","Małopolskie","1999 ",40000,21
"189",11249,"Dulowa","Małopolskie","2019 ",1,1
"190",2500,"Swadzim","Wielkopolskie","2019 ",2095,1
"191",21900,"Warszawa","Mazowieckie","2020 ",1,0
"192",6950,"Gołańcz","Wielkopolskie","2008 ",33000,12
"193",9700,"Łódź","Łódzkie","2007 ",18600,13
"194",9999,"Radom","Mazowieckie","2009 ",21000,11
"195",12500,"Bolesławiec","Dolnośląskie","2020 ",1700,0
"196",2799,"Lublin","Lubelskie","2020 ",1,0
"197",11000,"Oświęcim","Małopolskie","2000 ",38500,20
"198",10999,"Grudziądz","Kujawsko-pomorskie","2020 ",1,0
"199",3399,"Gliwice","Śląskie","2019 ",1,1
"200",11900,"Dobrzewino","Pomorskie","2007 ",34000,13
"201",10799,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"202",9199,"Pietrzykowice","Dolnośląskie","2020 ",1,0
"203",5599,"Dulowa","Małopolskie","2019 ",1,1
"204",6799,"Dulowa","Małopolskie","2019 ",1,1
"205",7699,"Dulowa","Małopolskie","2019 ",1,1
"206",15500,"Gdańsk","Pomorskie","2019 ",1,1
"207",18200,"Łódź","Łódzkie","2020 ",1,0
"208",11900,"Katowice","Śląskie","1999 ",37700,21
"209",2399,"Wrocław","Dolnośląskie","2020 ",1,0
"210",3584,"Wrocław","Dolnośląskie","2019 ",1,1
"211",4500,"Jelenia Góra","Dolnośląskie","1999 ",19110,21
"212",7500,"Warszawa","Mazowieckie","2010 ",31550,10
"213",7900,"Łuków","Lubelskie","2015 ",30232,5
"214",17900,"Kraków","Małopolskie","2020 ",1,0
"215",11500,"Rybnik","Śląskie","2015 ",26992,5
"216",17990,"Konstancin-Jeziorna","Mazowieckie","2019 ",1,1
"217",4500,"Strzeleczki","Opolskie","1996 ",13600,24
"218",7500,"Łęczna","Lubelskie","2018 ",2500,2
"219",8500,"Jedlicze","Podkarpackie","1998 ",22870,22
"220",9900,"Aleksandrów Łódzki","Łódzkie","2008 ",59825,12
"221",17700,"Łódź","Łódzkie","2020 ",1,0
"222",6799,"Barlinek","Zachodniopomorskie","2018 ",1,2
"223",11999,"Barlinek","Zachodniopomorskie","2018 ",1,2
"224",12290,"Żyrardów","Mazowieckie","2016 ",33000,4
"225",6900,"Barlinek","Zachodniopomorskie","2009 ",29838,11
"226",7990,"Żyrardów","Mazowieckie","2008 ",27000,12
"227",6599,"Barlinek","Zachodniopomorskie","2019 ",1,1
"228",6900,"Izabelin C","Mazowieckie","2009 ",34000,11
"229",7500,"Borek","Wielkopolskie","2013 ",30200,7
"230",4999,"Radom","Mazowieckie","2006 ",10000,14
"231",5999,"Radom","Mazowieckie","2006 ",16000,14
"232",10799,"Ruda Śląska","Śląskie","2019 ",1,1
"233",18700,"Tychy","Śląskie","2020 ",1,0
"234",2099,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"235",7999,"Radom","Mazowieckie","2008 ",22000,12
"236",7999,"Radom","Mazowieckie","2008 ",13000,12
"237",4500,"Pilawa","Mazowieckie","2015 ",3200,5
"238",6400,"Gdańsk","Pomorskie","2015 ",4046,5
"239",16900,"Łódź","Łódzkie","2020 ",1,0
"240",14990,"Łódź","Łódzkie","2019 ",1,1
"241",13000,"Ostrołęka","Mazowieckie","2017 ",15000,3
"242",5999,"Kozienice","Mazowieckie","2019 ",1,1
"243",15000,"Dąbrowa Górnicza","Śląskie","2001 ",19500,19
"244",8990,"Ruda Śląska","Śląskie","2019 ",1,1
"245",4500,"Lubsza","Śląskie","1996 ",20227,24
"246",8900,"Milanówek","Mazowieckie","1953 ",1578,67
"247",6900,"Straszów","Łódzkie","2012 ",30500,8
"248",3999,"Rydułtowy","Śląskie","2020 ",1,0
"249",11500,"Gdańsk","Pomorskie","2001 ",22968,19
"250",10999,"Ruda Śląska","Śląskie","2020 ",1,0
"251",4499,"Rzeszów","Podkarpackie","2017 ",1,3
"252",8999,"Rzeszów","Podkarpackie","2018 ",1,2
"253",7990,"Wrocław","Dolnośląskie","2019 ",1,1
"254",12200,"Krosno","Podkarpackie","2015 ",3900,5
"255",17712,"Grzędy","Mazowieckie","2019 ",3523,1
"256",8499,"Lutoryż","Podkarpackie","2008 ",30000,12
"257",14600,"Krzyż Wielkopolski","Wielkopolskie","2006 ",52,14
"258",8400,"Ruda Śląska","Śląskie","2020 ",1,0
"259",18700,"Gdańsk","Pomorskie","2020 ",1,0
"260",17000,"Dąbrowa Górnicza","Śląskie","2003 ",6000,17
"261",11900,"Piaski","Wielkopolskie","2016 ",13777,4
"262",4500,"Piaski","Wielkopolskie","1997 ",16081,23
"263",5800,"Piaski","Wielkopolskie","2019 ",1,1
"264",12500,"Gorlice","Małopolskie","2016 ",12900,4
"265",8299,"Ruda Śląska","Śląskie","2019 ",1,1
"266",13900,"Kraków","Małopolskie","2019 ",1,1
"267",3799,"Wrocław","Dolnośląskie","2020 ",1,0
"268",9499,"Wrocław","Dolnośląskie","2020 ",1,0
"269",7999,"Międzyrzec Podlaski","Lubelskie","2010 ",27050,10
"270",9899,"Wrocław","Dolnośląskie","2020 ",1,0
"271",7990,"Wrocław","Dolnośląskie","2019 ",1,1
"272",5900,"Wrocław","Dolnośląskie","2020 ",1,0
"273",5299,"Wrocław","Dolnośląskie","2019 ",1,1
"274",5990,"Wrocław","Dolnośląskie","2019 ",1,1
"275",2174,"Wrocław","Dolnośląskie","2019 ",1,1
"276",8499,"Ruda Śląska","Śląskie","2020 ",1,0
"277",8800,"Przeźmierowo","Wielkopolskie","2019 ",1,1
"278",16990,"Przeźmierowo","Wielkopolskie","2019 ",1,1
"279",7800,"Przeźmierowo","Wielkopolskie","2019 ",1,1
"280",6499,"Piaski","Wielkopolskie","2020 ",1,0
"281",7990,"Gdańsk","Pomorskie","2000 ",41342,20
"282",4700,"Gdańsk","Pomorskie","1998 ",54385,22
"283",9990,"Gdańsk","Pomorskie","2014 ",34436,6
"284",4300,"Kamienna Wola","Mazowieckie","1997 ",37000,23
"285",15500,"Kraków","Małopolskie","2020 ",1,0
"286",3990,"Gdańsk","Pomorskie","1997 ",63862,23
"287",7999,"Wrocław","Dolnośląskie","2019 ",1,1
"288",8900,"Bodzentyn","Świętokrzyskie","2018 ",1730,2
"289",4400,"Rzeszów","Podkarpackie","1998 ",40000,22
"290",9100,"Gliwice","Śląskie","2020 ",1,0
"291",5999,"Radom","Mazowieckie","1998 ",10000,22
"292",10699,"Radom","Mazowieckie","2000 ",17000,20
"293",10299,"Gliwice","Śląskie","2019 ",1,1
"294",11499,"Warszawa","Mazowieckie","2018 ",2,2
"295",3299,"Rydułtowy","Śląskie","2020 ",1,0
"296",4199,"Rydułtowy","Śląskie","2020 ",1,0
"297",5500,"Grodzisk Mazowiecki","Mazowieckie","2019 ",1,1
"298",21900,"Łódź","Łódzkie","2019 ",1,1
"299",5900,"Elbląg","Warmińsko-mazurskie","2007 ",21000,13
"300",4200,"Gołańcz","Wielkopolskie","1990 ",31390,30
"301",9999,"Radom","Mazowieckie","2009 ",21000,11
"302",6199,"Częstochowa","Śląskie","2020 ",1,0
"303",5999,"Radom","Mazowieckie","2011 ",17000,9
"304",11900,"Radom","Mazowieckie","2020 ",1,0
"305",6900,"Lidzbark Warmiński","Warmińsko-mazurskie","2002 ",12600,18
"306",18700,"Wrocław","Dolnośląskie","2020 ",1,0
"307",18700,"Wrocław","Dolnośląskie","2020 ",1,0
"308",7500,"Dąbrowa Górnicza","Śląskie","1998 ",19000,22
"309",14500,"Gdańsk","Pomorskie","2019 ",1,1
"310",16700,"Gostyń","Śląskie","2020 ",1,0
"311",12900,"Gostyń","Śląskie","2019 ",1000,1
"312",9199,"Częstochowa","Śląskie","2020 ",1,0
"313",10500,"Dąbrowa Górnicza","Śląskie","2002 ",19000,18
"314",11900,"Dąbrowa Górnicza","Śląskie","1999 ",25000,21
"315",16000,"Dąbrowa Górnicza","Śląskie","2001 ",9500,19
"316",8888,"Kokoszkowy","Pomorskie","1998 ",8952,22
"317",9900,"Opole","Opolskie","2012 ",5900,8
"318",7800,"Strzeleczki","Opolskie","1998 ",5500,22
"319",6999,"Połęczyno","Pomorskie","1999 ",9000,21
"320",6900,"Olsztynek","Warmińsko-mazurskie","2014 ",17689,6
"321",10499,"Katowice","Śląskie","2019 ",1,1
"322",6900,"Łódź","Łódzkie","2016 ",8690,4
"323",7800,"Strzeleczki","Opolskie","1998 ",12900,22
"324",8900,"Bolesławiec","Dolnośląskie","2013 ",17668,7
"325",10900,"Dobrodzień","Opolskie","2000 ",17000,20
"326",7200,"Ruda Śląska","Śląskie","2019 ",1,1
"327",8400,"Ruda Śląska","Śląskie","2019 ",1,1
"328",5300,"Piaski","Wielkopolskie","2019 ",1,1
"329",8900,"Grębów","Podkarpackie","1999 ",55958,21
"330",5999,"Piaski","Wielkopolskie","2019 ",1,1
"331",5900,"Piaski","Wielkopolskie","2007 ",35115,13
"332",5900,"Piaski","Wielkopolskie","2010 ",36334,10
"333",6200,"Piaski","Wielkopolskie","2018 ",1,2
"334",4600,"Katowice","Śląskie","2018 ",226,2
"335",4650,"Elbląg","Warmińsko-mazurskie","2007 ",14500,13
"336",8799,"Kraków","Małopolskie","2019 ",1,1
"337",8600,"Toruń","Kujawsko-pomorskie","2020 ",1,0
"338",12300,"Dąbrowa Górnicza","Śląskie","2001 ",15000,19
"339",8990,"Rydułtowy","Śląskie","2020 ",1,0
"340",8600,"Chojnice","Pomorskie","2011 ",14607,9
"341",10199,"Rydułtowy","Śląskie","2020 ",1,0
"342",14399,"Kielce","Świętokrzyskie","2003 ",20800,17
"343",5099,"Katowice","Śląskie","2019 ",1,1
"344",9200,"Kraków","Małopolskie","2020 ",1,0
"345",14990,"Siedlce","Mazowieckie","2019 ",1,1
"346",11500,"Poznań","Wielkopolskie","2007 ",14750,13
"347",4200,"Radom","Mazowieckie","2000 ",34192,20
"348",8900,"Piaseczno","Mazowieckie","2004 ",25650,16
"349",6699,"Częstochowa","Śląskie","2019 ",1,1
"350",17990,"Kraków","Małopolskie","2019 ",1,1
"351",16990,"Kraków","Małopolskie","2019 ",1,1
"352",9900,"Kozienice","Mazowieckie","2011 ",18000,9
"353",6049,"Lidzbark Warmiński","Warmińsko-mazurskie","2019 ",1,1
"354",5999,"Lidzbark Warmiński","Warmińsko-mazurskie","2019 ",1,1
"355",12700,"Bogumiłowice","Małopolskie","2008 ",23000,12
"356",20900,"Radom","Mazowieckie","2020 ",1,0
"357",16000,"Dąbrowa Górnicza","Śląskie","2004 ",12000,16
"358",7500,"Warszawa","Mazowieckie","2015 ",4900,5
"359",10900,"Białaczów","Łódzkie","2001 ",10500,19
"360",6700,"Charsznica","Małopolskie","2010 ",31000,10
"361",8500,"Katowice","Śląskie","2019 ",1,1
"362",14900,"Warszawa","Mazowieckie","2018 ",1553,2
"363",11399,"Radom","Mazowieckie","2015 ",13000,5
"364",2149,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"365",3199,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"366",2399,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"367",3199,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"368",5700,"Olszyny","Małopolskie","1998 ",24292,22
"369",13500,"Gdańsk","Pomorskie","2019 ",1,1
"370",15500,"Gdańsk","Pomorskie","2019 ",1,1
"371",15500,"Gdańsk","Pomorskie","2019 ",1,1
"372",13500,"Gdańsk","Pomorskie","2019 ",1,1
"373",11900,"Białystok","Podlaskie","2016 ",21000,4
"374",9999,"Kraków","Małopolskie","2017 ",1,3
"375",7299,"Gostyń","Śląskie","2019 ",1,1
"376",3999,"Poznań","Wielkopolskie","2010 ",7000,10
"377",4799,"Poznań","Wielkopolskie","2004 ",24000,16
"378",5999,"Gostyń","Śląskie","2020 ",1,0
"379",10500,"Piła","Wielkopolskie","1980 ",6007,40
"380",9900,"Poznań","Wielkopolskie","2017 ",10200,3
"381",12400,"Siedlce","Mazowieckie","2020 ",1,0
"382",15900,"Szczecin","Zachodniopomorskie","2020 ",5,0
"383",18700,"Szczecin","Zachodniopomorskie","2020 ",5,0
"384",12400,"Szczecin","Zachodniopomorskie","2020 ",5,0
"385",17700,"Szczecin","Zachodniopomorskie","2020 ",5,0
"386",2590,"Bodzentyn","Świętokrzyskie","1985 ",482,35
"387",7200,"Szczecin","Zachodniopomorskie","2019 ",760,1
"388",1999,"Czosnów","Mazowieckie","2020 ",1,0
"389",5999,"Czosnów","Mazowieckie","2020 ",1,0
"390",5999,"Czosnów","Mazowieckie","2019 ",1,1
"391",10499,"Czosnów","Mazowieckie","2019 ",1,1
"392",8999,"Czosnów","Mazowieckie","2019 ",1,1
"393",10299,"Czosnów","Mazowieckie","2019 ",1,1
"394",6999,"Czosnów","Mazowieckie","2019 ",1,1
"395",4199,"Czosnów","Mazowieckie","2020 ",1,0
"396",3999,"Żurawice","Dolnośląskie","2005 ",7000,15
"397",8900,"Warszawa","Mazowieckie","2019 ",1,1
"398",9000,"Warszawa","Mazowieckie","2020 ",1,0
"399",11500,"Jasienica","Mazowieckie","2003 ",21000,17
"400",5555,"Kokoszkowy","Pomorskie","1997 ",21123,23
"401",8999,"Radom","Mazowieckie","2015 ",18000,5
"402",9299,"Radom","Mazowieckie","2015 ",22000,5
"403",11799,"Radom","Mazowieckie","2016 ",17000,4
"404",7000,"Inowrocław","Kujawsko-pomorskie","1999 ",10600,21
"405",5500,"Inowrocław","Kujawsko-pomorskie","1997 ",24250,23
"406",13999,"Radom","Mazowieckie","2018 ",1400,2
"407",5999,"Ruda Śląska","Śląskie","2020 ",1,0
"408",14999,"Radom","Mazowieckie","2020 ",14000,0
"409",9199,"Dulowa","Małopolskie","2019 ",1,1
"410",11000,"Częstochowa","Śląskie","2019 ",1320,1
"411",9100,"Warszawa","Mazowieckie","2019 ",100,1
"412",5699,"Kraków","Małopolskie","2019 ",1,1
"413",8999,"Iława","Warmińsko-mazurskie","2009 ",10400,11
"414",4500,"Zalesice-Kolonia","Mazowieckie","2017 ",2700,3
"415",7800,"Kraków","Małopolskie","2019 ",1,1
"416",9299,"Rydułtowy","Śląskie","2019 ",1,1
"417",5999,"Ruda Śląska","Śląskie","2019 ",1,1
"418",7999,"Warszawa","Mazowieckie","2019 ",1,1
"419",5599,"Katowice","Śląskie","2019 ",1,1
"420",7999,"Radomsko","Łódzkie","2017 ",1,3
"421",6299,"Radomsko","Łódzkie","2019 ",1,1
"422",7299,"Radomsko","Łódzkie","2017 ",1,3
"423",9299,"Radomsko","Łódzkie","2019 ",1,1
"424",5999,"Radomsko","Łódzkie","2019 ",1,1
"425",13500,"Rzeszów","Podkarpackie","2019 ",1,1
"426",9700,"Żabno","Małopolskie","2001 ",19000,19
"427",21900,"Piaseczno","Mazowieckie","2020 ",1,0
"428",9199,"Dulowa","Małopolskie","2019 ",1,1
"429",7879,"Radomsko","Łódzkie","2019 ",1,1
"430",7999,"Kraków","Małopolskie","2019 ",1,1
"431",7149,"Dulowa","Małopolskie","2019 ",1,1
"432",14990,"Kraków","Małopolskie","2019 ",1,1
"433",10999,"Ruda Śląska","Śląskie","2020 ",1,0
"434",5800,"Skoczów","Śląskie","2019 ",1,1
"435",6949,"Dulowa","Małopolskie","2019 ",1,1
"436",7900,"Starogard Gdański","Pomorskie","2002 ",24473,18
"437",5590,"Szynwałd","Małopolskie","2006 ",22000,14
"438",6900,"Starogard Gdański","Pomorskie","2007 ",7602,13
"439",7199,"Ruda Śląska","Śląskie","2019 ",1,1
"440",6099,"Ruda Śląska","Śląskie","2020 ",1,0
"441",3199,"Ciechanów","Mazowieckie","2015 ",1,5
"442",21000,"Dąbrowa Górnicza","Śląskie","2008 ",13000,12
"443",16400,"Dąbrowa Górnicza","Śląskie","2003 ",15000,17
"444",17990,"Chorzów","Śląskie","2018 ",1,2
"445",12300,"Poraj","Śląskie","2015 ",1300,5
"446",13999,"Kokoszkowy","Pomorskie","2006 ",12123,14
